Date,Season,Div,HomeTeam,AwayTeam,y,model_p_H,model_p_D,model_p_A,model_mondrian_size_a10,model_mondrian_mask_a10,model_mondrian_size_a20,model_mondrian_mask_a20,model_mondrian_size_a30,model_mondrian_mask_a30,market_p_H,market_p_D,market_p_A,market_mondrian_size_a10,market_mondrian_mask_a10,market_mondrian_size_a20,market_mondrian_mask_a20,market_mondrian_size_a30,market_mondrian_mask_a30
2025-08-30,2025,I1,Parma,Atalanta,1,0.1486674972077087,0.1892534168175844,0.6620790859747069,2,DA,2,DA,1,A,0.2192875590858145,0.2532040348910871,0.5275084060230983,2,DA,2,DA,2,DA
2025-08-30,2025,SP1,Alaves,Ath Madrid,1,0.12144426820510226,0.26381238901894705,0.6147433427759507,2,DA,2,DA,2,DA,0.17221418234442834,0.27062228654124454,0.5571635311143271,2,DA,2,DA,2,DA
2025-08-30,2025,I1,Bologna,Como,0,0.28972838192368694,0.3481042786867702,0.36216733938954293,2,DA,2,DA,2,DA,0.3306780664681976,0.3072105907833578,0.3621113427484446,3,HDA,2,DA,2,DA
2025-08-30,2025,I1,Napoli,Cagliari,0,0.722033999026835,0.1550193177169358,0.12294668325622926,2,HD,1,H,1,H,0.6761868406440867,0.21862853970016652,0.10518461965574681,2,HD,1,H,1,H
2025-08-30,2025,E0,Wolves,Everton,2,0.22884149975529314,0.3195425379548944,0.45161596228981243,2,DA,2,DA,2,DA,0.27982899339292655,0.29731830547998445,0.422852701127089,2,DA,2,DA,2,DA
2025-08-30,2025,E0,Tottenham,Bournemouth,2,0.49157486830874886,0.2459255232192732,0.26249960847197795,3,HDA,3,HDA,2,HD,0.4953764861294584,0.2523117569352708,0.2523117569352708,3,HDA,3,HDA,2,HD
2025-08-30,2025,SP1,Oviedo,Sociedad,0,0.31025014458595845,0.3630569956864717,0.32669285972756984,3,HDA,2,DA,2,DA,0.2857715430861723,0.3042084168336673,0.4100200400801603,2,DA,2,DA,2,DA
2025-08-30,2025,E0,Man United,Burnley,0,0.7291376429282214,0.14097174352239034,0.12989061354938827,1,H,1,H,1,H,0.6818181818181819,0.18181818181818182,0.13636363636363633,1,H,1,H,1,H
2025-08-30,2025,E0,Leeds,Newcastle,1,0.25840696692466736,0.2614138126373291,0.48017922043800354,2,DA,2,DA,2,DA,0.2440775305096913,0.2799712849964106,0.475951184493898,2,DA,2,DA,2,DA
2025-08-31,2025,I1,Inter,Udinese,2,0.7783451138313495,0.12478617671717834,0.09686870945147208,1,H,1,H,1,H,0.7515030060120242,0.15531062124248493,0.09318637274549091,1,H,1,H,1,H
2025-08-31,2025,SP1,Vallecano,Barcelona,1,0.25214638554613633,0.16618734102882918,0.5816662734250345,2,DA,1,A,1,A,0.14070351758793964,0.18090452261306533,0.678391959798995,1,A,1,A,1,A
2025-08-31,2025,F1,Lyon,Marseille,0,0.2738936759861208,0.2904866847250854,0.4356196392887938,2,DA,2,DA,2,DA,0.3371104815864023,0.2776203966005666,0.3852691218130311,3,HDA,2,DA,2,DA
2025-08-31,2025,F1,Paris FC,Metz,0,0.5066489577293396,0.2690458595752716,0.2243051826953888,3,HDA,2,HD,2,HD,0.5503745604647607,0.238036997401009,0.2115884421342302,3,HDA,2,HD,1,H
2025-08-31,2025,F1,Monaco,Strasbourg,0,0.7029271617095595,0.1918043763666693,0.10526846192377118,2,HD,2,HD,1,H,0.6677010734089638,0.1805972427125197,0.1517016838785165,1,H,1,H,1,H
2025-08-31,2025,F1,Le Havre,Nice,0,0.22822280568216452,0.3324907471610717,0.4392864471567638,2,DA,2,DA,2,DA,0.3042084168336673,0.2857715430861723,0.4100200400801603,3,HDA,2,DA,2,DA
2025-08-31,2025,I1,Genoa,Juventus,2,0.1357633559809615,0.28916879195710454,0.5750678520619339,2,DA,2,DA,2,DA,0.1815054163373471,0.2977823236784602,0.5207122599841927,2,DA,2,DA,2,DA
2025-08-31,2025,I1,Torino,Fiorentina,1,0.23684326951439277,0.30935969487786746,0.45379703560773976,2,DA,2,DA,2,DA,0.29411764705882354,0.3137254901960785,0.39215686274509803,2,DA,2,DA,2,DA
2025-08-31,2025,D1,Wolfsburg,Mainz,1,0.3367944855453227,0.34799217140697924,0.31521334304769805,3,HDA,2,DA,2,DA,0.4374145674672915,0.2686975200156219,0.2938879125170865,3,HDA,3,HDA,3,HDA
2025-08-31,2025,E0,Nott'm Forest,West Ham,2,0.6306189988645762,0.22331169580387616,0.14606930533154763,2,HD,2,HD,2,HD,0.578368999421631,0.2342394447657605,0.1873915558126084,2,HD,2,HD,1,H
2025-08-31,2025,D1,Dortmund,Union Berlin,0,0.7114194684581419,0.18316073852152182,0.10541979302033627,2,HD,1,H,1,H,0.6621983914209116,0.19517426273458444,0.14262734584450404,1,H,1,H,1,H
2025-08-31,2025,SP1,Espanol,Osasuna,0,0.366565905008668,0.29745643123724647,0.33597766375408555,3,HDA,2,DA,2,DA,0.37037037037037046,0.31481481481481477,0.31481481481481477,3,HDA,2,DA,2,DA
